host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
t,Broadmoor,Entire rental unit,Entire home/apt,6,2 baths,3.0,4.0,112.0,3,30,7,21,46,130,167,4.94,4.96,4.98,4.98,4.97,4.69,4.91,f
t,Central Business District,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,200.0,2,1125,14,20,50,285,106,5.0,5.0,4.95,4.99,5.0,4.99,4.98,f
f,Seventh Ward,Private room in residential home,Private room,3,1 shared bath,1.0,2.0,72.0,2,1125,0,0,0,0,173,4.77,4.92,4.73,4.93,4.9,4.84,4.82,t
f,Broadmoor,Entire rental unit,Entire home/apt,8,2 baths,3.0,4.0,142.0,2,1125,24,49,79,79,188,4.78,4.82,4.68,4.89,4.91,4.63,4.72,f
f,St. Thomas Dev,Entire residential home,Entire home/apt,4,1.5 baths,2.0,2.0,74.0,30,1125,0,0,0,0,44,4.8,4.86,4.79,4.83,4.91,4.57,4.81,f
t,Treme - Lafitte,Private room in bed and breakfast,Private room,2,1.5 baths,1.0,1.0,195.0,2,30,13,43,66,320,20,5.0,5.0,5.0,5.0,5.0,4.84,4.95,f
t,Uptown,Entire residential home,Entire home/apt,6,3 baths,4.0,6.0,804.0,30,30,16,35,60,299,94,5.0,4.99,4.99,5.0,5.0,4.95,4.93,f
f,Mid-City,Private room in residential home,Private room,3,1.5 baths,1.0,2.0,118.0,30,1125,28,58,88,88,108,4.88,4.92,4.76,4.92,4.92,4.74,4.92,t
t,Lower Garden District,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,125.0,30,1125,0,0,0,0,41,4.59,4.78,4.85,4.98,4.76,4.95,4.78,t
t,Treme - Lafitte,Private room in bed and breakfast,Private room,2,1 private bath,1.0,2.0,195.0,2,30,13,35,58,316,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f
t,Central City,Private room in residential home,Private room,2,1 private bath,1.0,1.0,63.0,1,40,0,0,0,67,329,4.84,4.91,4.73,4.97,4.97,4.72,4.85,t
f,Bayou St. John,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,89.0,30,1125,0,0,0,0,32,4.81,4.94,4.84,4.81,4.84,4.88,4.91,f
f,Marlyville - Fontainbleau,Entire guesthouse,Entire home/apt,3,1 bath,1.0,2.0,90.0,1,1125,0,0,0,0,73,4.59,4.64,4.6,4.81,4.79,4.93,4.67,f
f,Desire Area,Entire residential home,Entire home/apt,5,1 bath,2.0,1.0,153.0,30,1125,0,0,0,0,0,4.86,4.91,4.88,4.96,4.95,4.87,4.83,f
t,East Riverside,Entire townhouse,Entire home/apt,6,1 bath,3.0,3.0,245.0,3,1125,11,26,49,282,96,4.89,4.89,4.82,4.94,4.93,4.91,4.83,f
t,St. Claude,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,81.0,2,120,9,27,57,127,210,4.98,4.97,5.0,4.99,4.99,4.9,4.91,t
t,Seventh Ward,Entire residential home,Entire home/apt,10,2 baths,5.0,5.0,610.0,2,60,0,0,0,184,12,4.73,4.91,4.55,5.0,4.91,4.36,4.73,f
t,Treme - Lafitte,Private room in bed and breakfast,Private room,4,1 private bath,1.0,1.0,275.0,2,30,10,36,51,286,7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f
t,Treme - Lafitte,Private room in bed and breakfast,Private room,3,1 private bath,1.0,1.0,275.0,2,30,11,33,57,302,7,5.0,5.0,5.0,5.0,5.0,5.0,4.86,f
f,Little Woods,Entire guest suite,Entire home/apt,6,1 bath,2.0,4.0,62.0,30,1125,15,45,75,75,38,4.69,4.64,4.81,4.92,4.64,4.64,4.75,t
t,St. Thomas Dev,Entire residential home,Entire home/apt,2,1 bath,1.0,1.0,250.0,30,60,0,0,0,0,218,4.9,4.97,4.94,4.97,4.92,4.9,4.9,t
t,Bywater,Private room in guest suite,Private room,2,1 private bath,1.0,1.0,26.0,2,30,7,34,64,309,179,4.97,4.98,4.99,4.99,4.95,4.91,4.95,t
t,Mcdonogh,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,75.0,1,1125,4,12,31,31,314,4.91,4.96,4.94,4.99,4.99,4.72,4.94,t
f,Treme - Lafitte,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,100.0,30,1125,0,0,0,0,98,4.66,4.75,4.48,4.89,4.94,4.77,4.73,f
f,Dillard,Private room in residential home,Private room,4,2.5 baths,2.0,4.0,134.0,30,1125,29,59,89,364,37,4.89,4.81,4.92,4.95,4.89,4.86,4.81,f
f,St. Roch,Entire residential home,Entire home/apt,5,1.5 baths,2.0,3.0,110.0,30,1125,0,24,35,94,134,4.64,4.78,4.57,4.96,4.93,4.33,4.62,f
f,French Quarter,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,259.0,30,1125,0,0,0,0,93,4.9,4.95,4.76,4.99,4.95,5.0,4.81,f
f,Leonidas,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,65.0,30,1125,0,0,0,0,42,4.9,4.93,4.83,5.0,4.93,4.76,4.9,f
t,Lakeview,Entire guest suite,Entire home/apt,4,1 bath,1.0,2.0,99.0,5,1125,0,22,52,303,77,4.91,4.95,4.87,4.99,5.0,4.91,4.91,f
f,Irish Channel,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,101.0,30,1125,0,0,0,0,76,4.95,4.97,4.96,4.99,4.99,4.89,4.84,f
f,Old Aurora,Private room in residential home,Private room,6,2 baths,3.0,3.0,250.0,2,4,0,5,35,310,10,4.8,4.9,5.0,5.0,4.9,4.9,5.0,f
f,Broadmoor,Entire rental unit,Entire home/apt,6,1 bath,2.0,2.0,73.0,30,1125,0,0,0,0,19,4.26,4.53,4.16,4.89,4.89,4.32,4.58,f
t,French Quarter,Entire condominium (condo),Entire home/apt,2,1 bath,1.0,2.0,275.0,30,1125,28,58,88,178,0,4.86,4.91,4.88,4.96,4.95,4.87,4.83,f
t,Mid-City,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,98.0,2,27,4,6,6,42,318,4.97,4.98,4.97,4.99,4.94,4.9,4.97,t
t,Treme - Lafitte,Entire residential home,Entire home/apt,4,2 baths,2.0,2.0,185.0,2,365,7,21,29,158,208,4.91,4.96,4.9,4.97,4.99,4.83,4.9,f
t,Lower Garden District,Entire residential home,Entire home/apt,6,1 bath,3.0,4.0,300.0,30,1125,30,60,90,349,40,4.86,4.95,4.89,4.97,4.95,4.78,4.73,f
t,Garden District,Room in bed and breakfast,Hotel room,4,1 private bath,2.0,3.0,69.0,2,4,0,0,0,0,29,5.0,5.0,5.0,5.0,5.0,5.0,4.96,f
f,Central City,Entire rental unit,Entire home/apt,6,1 bath,2.0,2.0,115.0,1,365,16,43,73,320,238,4.83,4.88,4.89,4.95,4.98,4.85,4.79,t
t,Central City,Private room in rental unit,Private room,3,1 private bath,1.0,2.0,119.0,3,1125,13,43,73,84,138,4.78,4.88,4.76,4.95,4.9,4.95,4.89,t
t,Leonidas,Entire residential home,Entire home/apt,8,2 baths,4.0,4.0,266.0,2,1125,22,29,29,29,49,4.86,4.9,4.82,4.98,4.94,4.84,4.8,t
t,Lower Garden District,Entire condominium (condo),Entire home/apt,4,1 bath,1.0,2.0,131.0,3,1000,17,47,77,186,48,4.73,4.79,4.94,4.88,4.88,4.85,4.56,t
f,Algiers Point,Entire residential home,Entire home/apt,4,1.5 baths,2.0,4.0,149.0,2,1125,14,27,51,241,70,4.49,4.51,4.48,4.72,4.65,4.81,4.66,f
t,Leonidas,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,108.0,1,1125,15,45,72,72,136,4.72,4.84,4.5,4.98,4.95,4.86,4.79,t
t,City Park,Entire residential home,Entire home/apt,5,1 bath,2.0,3.0,108.0,2,1125,5,8,34,34,126,4.81,4.87,4.93,4.99,4.97,4.86,4.83,t
f,Seventh Ward,Entire villa,Entire home/apt,6,1 bath,3.0,3.0,107.0,2,90,18,47,69,312,144,4.92,4.97,4.92,4.99,4.99,4.64,4.88,t
f,St. Claude,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,95.0,30,1125,0,0,0,0,8,4.88,5.0,4.63,5.0,5.0,4.63,4.63,t
f,Seventh Ward,Room in boutique hotel,Entire home/apt,2,1 bath,1.0,1.0,143.0,1,11,4,4,4,4,134,4.79,4.82,4.85,4.71,4.71,4.88,4.86,f
f,St.  Anthony,Entire residential home,Entire home/apt,10,3.5 baths,5.0,6.0,750.0,2,30,28,58,88,356,8,4.75,5.0,5.0,5.0,5.0,5.0,5.0,t
f,Bayou St. John,Entire guest suite,Entire home/apt,4,1 bath,1.0,2.0,104.0,2,1125,1,11,14,47,172,4.82,4.91,4.62,4.99,4.99,4.91,4.88,f
t,Little Woods,Private room in rental unit,Private room,2,1 bath,1.0,1.0,85.0,30,1125,0,0,0,0,14,5.0,5.0,5.0,5.0,4.93,4.71,4.93,f
f,Gert Town,Farm stay,Entire home/apt,4,1 bath,1.0,2.0,98.0,1,30,24,49,78,338,217,4.38,4.58,4.18,4.78,4.71,4.23,4.53,f
t,Mid-City,Entire residential home,Entire home/apt,6,1 bath,2.0,3.0,154.0,3,1000,23,53,83,176,75,4.65,4.64,4.85,4.84,4.87,4.55,4.67,t
f,Whitney,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,69.0,30,180,3,28,33,100,91,4.94,4.92,4.98,4.97,4.98,4.89,4.93,f
t,Leonidas,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,90.0,2,1125,0,1,1,4,77,4.94,4.95,4.94,4.97,4.97,4.87,4.97,f
f,Marigny,Private room in residential home,Private room,2,1 private bath,1.0,1.0,44.0,1,365,19,42,70,307,17,4.41,4.47,4.53,4.71,4.47,4.71,4.65,t
f,Marigny,Private room in residential home,Private room,2,1 private bath,1.0,1.0,47.0,1,365,12,34,55,282,5,4.2,4.8,4.8,5.0,5.0,5.0,5.0,t
f,Marigny,Private room in residential home,Private room,2,1 private bath,1.0,1.0,61.0,1,365,16,37,58,291,30,4.63,4.59,4.7,4.9,4.9,4.83,4.76,t
f,Marigny,Private room in residential home,Private room,2,1 private bath,1.0,1.0,64.0,1,365,13,38,52,295,45,4.82,4.84,4.73,4.67,4.78,4.87,4.73,t
f,Marigny,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,61.0,1,365,15,35,63,283,10,4.0,3.8,4.3,4.56,4.1,4.22,4.11,t
f,East Riverside,Private room in bungalow,Private room,3,3 baths,3.0,2.0,215.0,2,180,14,14,38,120,93,4.51,4.68,4.14,4.89,4.87,4.91,4.58,f
t,St. Roch,Entire townhouse,Entire home/apt,3,1 bath,2.0,2.0,99.0,4,1125,1,3,11,11,140,4.93,4.96,4.96,4.99,4.97,4.83,4.87,f
t,Treme - Lafitte,Private room in residential home,Private room,2,2 shared baths,1.0,1.0,72.0,2,7,13,28,28,28,316,4.87,4.9,4.84,4.97,4.93,4.53,4.85,t
t,Mid-City,Private room in residential home,Private room,2,1 private bath,1.0,1.0,59.0,1,1125,0,0,0,0,179,4.92,4.97,4.89,4.95,4.94,4.89,4.91,f
t,Central Business District,Entire rental unit,Entire home/apt,6,2 baths,2.0,3.0,197.0,1,1125,14,41,68,314,241,4.76,4.78,4.62,4.87,4.89,4.88,4.69,t
f,Marigny,Entire rental unit,Entire home/apt,8,2 baths,4.0,4.0,652.0,30,1125,11,41,71,153,101,4.86,4.97,4.93,4.84,4.77,4.99,4.78,f
t,Marlyville - Fontainbleau,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,133.0,2,30,2,21,48,99,226,4.99,4.99,4.99,5.0,5.0,4.91,4.97,f
t,Irish Channel,Entire guesthouse,Entire home/apt,4,1 bath,1.0,2.0,150.0,2,1125,0,0,0,0,124,4.97,4.97,4.92,5.0,4.98,4.95,4.9,f
t,Treme - Lafitte,Private room in residential home,Private room,2,2 shared baths,1.0,1.0,69.0,2,7,10,20,20,20,357,4.84,4.89,4.83,4.95,4.95,4.52,4.82,t
t,Treme - Lafitte,Private room in residential home,Private room,2,2 shared baths,1.0,1.0,71.0,2,7,11,27,27,27,295,4.73,4.85,4.79,4.93,4.9,4.42,4.79,t
t,Treme - Lafitte,Private room in residential home,Private room,2,2 shared baths,1.0,1.0,58.0,2,7,9,19,19,19,317,4.79,4.83,4.85,4.97,4.94,4.53,4.81,t
t,Treme - Lafitte,Private room in residential home,Private room,2,2 shared baths,1.0,1.0,57.0,2,7,6,15,15,15,336,4.8,4.87,4.81,4.98,4.95,4.53,4.83,t
t,West Riverside,Entire condominium (condo),Entire home/apt,2,1 bath,1.0,1.0,149.0,3,15,25,55,80,80,31,4.89,4.96,4.86,4.86,4.71,4.96,4.75,f
t,Marigny,Private room in bed and breakfast,Private room,2,1 private bath,1.0,1.0,120.0,2,365,16,26,53,129,122,5.0,4.96,4.99,4.99,4.97,4.98,4.9,t
f,Freret,Entire rental unit,Entire home/apt,9,2 baths,4.0,5.0,142.0,2,1125,27,51,81,81,124,4.65,4.67,4.62,4.81,4.93,4.48,4.52,f
t,Black Pearl,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,70.0,2,14,0,0,0,0,206,4.99,4.99,4.99,4.99,4.99,4.95,4.96,f
f,Leonidas,Entire residential home,Entire home/apt,14,3 baths,4.0,8.0,700.0,30,30,16,46,76,188,36,4.77,4.66,4.83,4.74,4.71,4.66,4.63,t
f,Central City,Entire condominium (condo),Entire home/apt,4,1 bath,1.0,2.0,204.0,30,1125,29,59,89,364,0,4.86,4.91,4.88,4.96,4.95,4.87,4.83,f
t,St. Thomas Dev,Entire cottage,Entire home/apt,5,1 bath,2.0,2.0,146.0,2,14,0,15,45,103,140,4.93,4.91,4.96,4.98,4.96,4.8,4.88,t
f,Broadmoor,Entire rental unit,Entire home/apt,8,2 baths,3.0,4.0,186.0,2,1125,26,52,82,82,121,4.58,4.72,4.63,4.88,4.85,4.64,4.58,f
t,Bywater,Entire residential home,Entire home/apt,2,1 bath,1.0,1.0,175.0,1,90,2,10,27,254,329,4.95,4.97,4.98,5.0,5.0,4.94,4.85,t
t,Treme - Lafitte,Entire residential home,Entire home/apt,6,2.5 baths,3.0,3.0,325.0,3,1125,13,23,45,227,149,4.99,4.93,4.96,4.96,4.95,4.74,4.92,f
t,St. Claude,Entire residential home,Entire home/apt,4,1 bath,2.0,2.0,86.0,2,120,9,31,61,146,124,4.78,4.85,4.74,4.97,4.96,4.66,4.83,t
t,Algiers Point,Entire rental unit,Entire home/apt,6,1 bath,3.0,3.0,160.0,2,1125,15,35,61,207,27,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f
t,Audubon,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,89.0,2,1125,11,39,69,326,201,4.86,4.93,4.78,4.96,4.88,4.92,4.85,t
f,Marigny,Entire rental unit,Entire home/apt,8,2 baths,4.0,4.0,652.0,30,1125,22,52,79,259,112,4.85,4.9,4.88,4.87,4.72,4.97,4.75,f
f,Old Aurora,Private room in residential home,Private room,2,1 shared bath,3.0,3.0,109.0,2,365,28,58,88,363,21,4.67,4.62,4.43,4.76,4.67,4.43,4.57,f
f,Seventh Ward,Entire residential home,Entire home/apt,6,2 baths,3.0,3.0,154.0,2,30,27,53,53,53,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f
t,Holy Cross,Entire guest suite,Entire home/apt,2,1 bath,1.0,2.0,73.0,3,5,22,44,44,44,139,4.96,4.96,4.99,5.0,5.0,4.7,4.9,f
t,Seventh Ward,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,127.0,1,1125,0,0,0,0,60,5.0,4.98,4.95,5.0,5.0,4.92,4.95,f
t,West Riverside,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,161.0,2,1125,0,18,48,293,147,4.97,4.97,4.99,4.98,4.97,4.99,4.91,f
f,Lower Garden District,Entire residential home,Entire home/apt,2,1 bath,1.0,1.0,90.0,30,1125,0,0,0,0,135,4.83,4.91,4.81,4.96,4.96,4.74,4.81,t
t,Broadmoor,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,146.0,2,1125,11,38,64,156,183,4.91,4.95,4.86,4.98,5.0,4.91,4.87,f
t,Marigny,Entire residential home,Entire home/apt,2,1 bath,1.0,1.0,125.0,28,1124,0,0,0,0,208,4.93,4.91,4.92,4.92,4.86,4.99,4.79,f
f,Hollygrove,Entire rental unit,Entire home/apt,10,4.5 baths,6.0,10.0,528.0,30,1125,26,49,79,160,2,4.5,5.0,5.0,5.0,5.0,4.0,5.0,f
t,Central City,Entire condominium (condo),Entire home/apt,2,1 bath,1.0,1.0,121.0,2,14,4,20,50,62,158,4.86,4.97,4.91,4.98,4.91,4.91,4.85,t
t,Central City,Entire condominium (condo),Entire home/apt,4,2 baths,2.0,2.0,228.0,3,14,14,18,45,53,165,4.84,4.96,4.9,4.89,4.88,4.88,4.76,f
f,Broadmoor,Entire rental unit,Entire home/apt,8,2 baths,4.0,5.0,199.0,2,1125,27,57,84,84,131,4.55,4.71,4.53,4.86,4.88,4.61,4.6,f
t,City Park,Entire residential home,Entire home/apt,6,2 baths,3.0,3.0,377.0,2,30,26,51,77,317,94,4.83,4.8,4.9,4.98,4.9,4.98,4.84,f
t,Bayou St. John,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,121.0,1,1125,4,11,18,22,186,4.88,4.91,4.88,4.98,4.96,4.74,4.85,f
t,Lower Garden District,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,68.0,2,31,0,0,0,5,114,4.88,4.97,4.84,4.99,4.95,4.96,4.85,f
t,Central Business District,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,295.0,30,1125,0,0,0,0,32,4.91,4.94,4.94,4.97,5.0,4.81,4.72,t
f,Mid-City,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,141.0,1,1125,19,22,28,157,90,4.56,4.77,4.43,4.96,4.89,4.86,4.54,f
f,Central Business District,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,169.0,1,1125,3,9,35,35,232,4.63,4.72,4.65,4.74,4.65,4.82,4.65,t
t,West Riverside,Entire guest suite,Entire home/apt,4,1 bath,1.0,3.0,85.0,3,1125,0,3,5,61,112,4.89,4.96,4.93,4.98,4.97,4.93,4.87,f
t,St. Thomas Dev,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,354.0,2,30,9,30,60,136,45,4.98,5.0,4.93,5.0,5.0,4.98,4.93,f
t,Lower Garden District,Entire loft,Entire home/apt,2,1 bath,1.0,1.0,225.0,30,90,16,35,45,110,109,4.98,5.0,4.98,4.96,5.0,4.98,4.92,f
t,Garden District,Entire condominium (condo),Entire home/apt,4,1 bath,1.0,1.0,50.0,30,1125,0,0,8,255,128,4.6,4.76,4.58,4.92,4.91,4.94,4.79,t
t,Leonidas,Private room in residential home,Private room,2,1 private bath,1.0,1.0,36.0,30,1125,0,0,0,98,0,4.86,4.91,4.88,4.96,4.95,4.87,4.83,f
t,Central City,Private room in rental unit,Private room,3,1 private bath,1.0,2.0,119.0,3,60,9,39,67,75,101,4.71,4.85,4.59,4.93,4.84,4.95,4.82,t
t,Treme - Lafitte,Private room in residential home,Private room,2,1 shared bath,1.0,1.0,76.0,2,30,23,53,53,53,36,4.91,4.97,4.94,5.0,5.0,4.74,4.89,f
f,Audubon,Entire residential home,Entire home/apt,8,2 baths,4.0,5.0,400.0,30,300,1,26,26,196,15,4.73,5.0,4.73,5.0,4.93,4.87,4.53,f
f,Irish Channel,Entire residential home,Entire home/apt,6,2.5 baths,3.0,3.0,1100.0,30,30,30,60,90,90,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t
t,Audubon,Entire residential home,Entire home/apt,8,2.5 baths,4.0,4.0,629.0,3,1125,17,36,63,289,59,4.9,4.93,4.86,4.98,4.91,4.84,4.81,f
f,Central Business District,Entire rental unit,Entire home/apt,13,2 baths,3.0,6.0,243.0,30,1125,27,57,87,354,76,4.61,4.61,4.37,4.84,4.79,4.93,4.54,f
f,French Quarter,Entire rental unit,Entire home/apt,16,2 baths,4.0,10.0,354.0,30,1125,0,6,36,300,83,4.63,4.82,4.43,4.88,4.84,4.95,4.66,f
f,French Quarter,Entire condominium (condo),Entire home/apt,16,2 baths,4.0,8.0,354.0,30,1125,17,43,71,336,98,4.71,4.7,4.55,4.86,4.89,4.95,4.76,f
f,French Quarter,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,126.0,30,1125,6,13,30,213,36,4.83,4.86,4.66,4.8,4.74,5.0,4.8,f
f,French Quarter,Entire rental unit,Entire home/apt,15,2 baths,4.0,7.0,293.0,30,1125,12,38,68,339,75,4.67,4.74,4.55,4.78,4.88,4.95,4.69,f
f,French Quarter,Entire villa,Entire home/apt,4,1 bath,1.0,2.0,139.0,30,1125,2,4,19,125,98,4.89,4.93,4.91,4.95,4.89,5.0,4.92,f
t,Treme - Lafitte,Entire residential home,Entire home/apt,10,2.5 baths,3.0,10.0,532.0,1,60,0,7,37,113,75,4.73,4.68,4.81,4.97,4.92,4.53,4.6,t
t,Treme - Lafitte,Entire residential home,Entire home/apt,4,1 bath,2.0,2.0,150.0,3,1125,25,47,71,321,47,4.87,4.91,4.89,4.98,4.98,4.7,4.77,t
t,St. Claude,Private room in guest suite,Private room,3,1 private bath,2.0,3.0,95.0,2,31,13,37,56,315,139,4.95,4.95,4.91,4.99,4.98,4.89,4.93,f
f,East Riverside,Private room in earth house,Private room,2,1 shared bath,1.0,1.0,65.0,1,7,15,32,62,98,218,4.85,4.89,4.82,4.94,4.95,4.91,4.84,t
f,Mid-City,Entire townhouse,Entire home/apt,10,2 baths,3.0,7.0,184.0,1,60,15,29,52,118,253,4.77,4.91,4.87,4.94,4.85,4.77,4.85,t
t,Touro,Private room in residential home,Private room,2,1 private bath,1.0,1.0,95.0,1,1125,13,22,40,295,91,4.99,4.99,4.99,4.99,4.98,4.97,4.93,t
f,East Riverside,Private room in residential home,Private room,2,1 shared bath,1.0,1.0,62.0,1,7,12,35,61,115,195,4.86,4.91,4.88,4.93,4.93,4.9,4.85,t
f,East Riverside,Private room in residential home,Private room,8,1.5 baths,3.0,4.0,61.0,1,15,0,0,0,0,158,4.68,4.68,4.76,4.81,4.78,4.83,4.65,t
f,Desire Area,Entire guesthouse,Entire home/apt,4,1 bath,2.0,2.0,79.0,2,1125,11,22,52,52,136,4.87,4.88,4.72,4.99,4.97,4.59,4.89,f
t,Central City,Entire townhouse,Entire home/apt,4,1 bath,1.0,1.0,88.0,1,1125,0,0,5,5,202,4.95,4.97,4.94,4.99,4.99,4.62,4.91,f
f,Bywater,Private room in residential home,Private room,1,1 shared bath,1.0,1.0,68.0,1,30,5,5,5,37,101,4.72,4.87,4.72,4.94,4.88,4.89,4.63,f
f,Central Business District,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,193.0,2,30,11,19,31,67,204,4.73,4.89,4.75,4.88,4.76,4.94,4.8,t
t,Central Business District,Entire serviced apartment,Entire home/apt,4,3 baths,2.0,2.0,442.0,1,1125,18,43,68,315,84,4.86,4.87,4.91,4.91,4.96,4.87,4.83,t
t,Lower Garden District,Floor,Entire home/apt,6,2 baths,2.0,3.0,195.0,3,1125,14,28,58,58,101,4.88,4.91,4.89,4.97,4.92,4.94,4.84,f
f,Algiers Point,Entire residential home,Entire home/apt,8,3 baths,3.0,4.0,450.0,3,30,30,60,90,90,26,4.96,5.0,4.96,5.0,5.0,4.88,4.85,f
t,Leonidas,Private room in residential home,Private room,1,1 shared bath,1.0,1.0,26.0,30,1125,6,31,31,31,1,3.0,4.0,3.0,5.0,5.0,5.0,3.0,f
t,Algiers Point,Entire residential home,Entire home/apt,6,2 baths,3.0,4.0,246.0,2,1125,16,28,45,250,179,4.94,4.99,4.92,4.98,4.99,4.82,4.88,t
t,Leonidas,Private room in residential home,Private room,1,1 shared bath,1.0,1.0,31.0,30,1125,0,0,0,0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f
f,Holy Cross,Private room in residential home,Private room,2,1 private bath,1.0,1.0,45.0,28,1125,0,6,36,216,236,4.83,4.88,4.96,4.94,4.89,4.51,4.85,f
f,Audubon,Entire residential home,Entire home/apt,8,2 baths,3.0,4.0,399.0,30,30,0,0,0,0,36,4.97,5.0,4.89,4.97,5.0,5.0,4.97,f
f,Bywater,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,99.0,1,30,15,25,29,29,152,4.95,4.94,4.89,4.93,4.89,4.94,4.91,f
t,Broadmoor,Entire residential home,Entire home/apt,8,4 baths,4.0,6.0,263.0,2,365,14,44,72,240,77,4.84,4.91,4.83,4.96,4.91,4.88,4.74,t
f,Lower Garden District,Entire residential home,Entire home/apt,6,2 baths,2.0,2.0,275.0,3,1125,0,0,0,0,106,4.77,4.85,4.77,4.87,4.84,4.75,4.76,t
f,St. Claude,Entire residential home,Entire home/apt,10,2 baths,5.0,6.0,395.0,2,1125,23,50,79,347,31,4.77,4.68,4.84,4.87,4.94,4.4,4.67,f
t,Gentilly Terrace,Entire residential home,Entire home/apt,4,1 bath,2.0,3.0,99.0,2,1125,0,0,0,5,67,4.94,4.97,4.99,5.0,5.0,4.79,4.89,f
f,Marigny,Entire rental unit,Entire home/apt,4,1 bath,1.0,4.0,650.0,30,90,29,59,89,269,12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f
f,Seventh Ward,Entire residential home,Entire home/apt,10,2 baths,5.0,10.0,278.0,1,10,16,46,76,175,49,4.37,4.41,4.24,4.79,4.57,3.96,4.13,f
t,Algiers Point,Entire condominium (condo),Entire home/apt,2,1 bath,1.0,1.0,103.0,3,90,4,20,41,119,162,4.96,4.95,4.9,4.99,4.97,4.91,4.93,f
f,Seventh Ward,Entire residential home,Entire home/apt,12,2 baths,3.0,8.0,247.0,30,365,6,36,66,341,103,4.57,4.65,4.53,4.9,4.87,4.23,4.65,t
f,Seventh Ward,Entire residential home,Entire home/apt,2,1 bath,1.0,1.0,81.0,2,30,14,31,31,31,156,4.81,4.85,4.77,4.94,4.9,4.59,4.76,t
f,Seventh Ward,Entire residential home,Entire home/apt,2,1 bath,1.0,1.0,81.0,2,30,16,16,16,16,141,4.8,4.94,4.9,4.94,4.87,4.67,4.8,t
f,Central Business District,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,193.0,2,1125,24,51,81,81,84,4.52,4.83,4.77,4.72,4.19,4.9,4.61,t
t,Audubon,Entire guesthouse,Entire home/apt,3,1.5 baths,1.0,2.0,168.0,3,1125,1,12,16,70,234,5.0,5.0,5.0,5.0,4.98,4.99,4.86,f
f,Central Business District,Entire rental unit,Entire home/apt,4,2 baths,2.0,4.0,450.0,2,1125,27,57,87,87,59,4.78,4.95,4.83,4.74,4.14,4.95,4.56,t
f,Lower Garden District,Entire townhouse,Entire home/apt,4,2 baths,2.0,2.0,100.0,30,1125,0,0,0,159,21,4.89,4.89,5.0,4.84,5.0,5.0,4.89,f
t,Central Business District,Entire condominium (condo),Entire home/apt,4,1 bath,1.0,2.0,249.0,3,7,0,0,0,0,7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t
t,Marigny,Entire cottage,Entire home/apt,2,1 bath,1.0,2.0,151.0,31,1125,6,36,66,66,50,4.84,4.98,4.82,5.0,4.98,4.94,4.81,f
t,Central Business District,Entire condominium (condo),Entire home/apt,4,1 bath,2.0,2.0,299.0,3,3,0,0,0,0,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t
