host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
t,Bywater,Entire guest suite,Entire home/apt,2,1 bath,1.0,2.0,89.0,3,90,4,7,24,24,530,4.85,4.87,4.77,4.92,4.91,4.94,4.82,f
f,French Quarter,Entire residential home,Entire home/apt,2,1 bath,1.0,1.0,150.0,30,365,29,59,89,364,226,4.73,4.85,4.64,4.96,4.93,4.84,4.71,t
f,Leonidas,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,99.0,30,45,0,24,54,297,89,4.8,4.83,4.82,4.98,4.96,4.91,4.74,f
f,Central City,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,257.0,2,30,30,60,90,359,5,4.6,3.8,5.0,4.8,4.8,4.8,4.4,f
f,Treme - Lafitte,Entire rental unit,Entire home/apt,6,2.5 baths,3.0,4.0,186.0,1,365,16,33,63,318,49,4.84,4.84,4.86,4.8,4.65,4.76,4.8,t
t,Marigny,Entire residential home,Entire home/apt,10,2 baths,5.0,6.0,779.0,3,1125,15,33,56,56,84,4.98,4.95,4.9,4.99,5.0,4.94,4.86,f
t,Mid-City,Private room in residential home,Private room,6,2 baths,3.0,3.0,277.0,1,30,2,2,2,2,26,4.65,4.73,4.31,4.64,4.62,4.6,4.64,f
t,Central City,Entire residential home,Entire home/apt,4,1.5 baths,2.0,3.0,120.0,30,365,12,12,12,112,108,4.79,4.93,4.7,4.96,4.9,4.93,4.85,f
f,Lower Garden District,Entire residential home,Entire home/apt,6,2.5 baths,3.0,3.0,333.0,30,30,0,0,0,0,78,4.92,4.99,4.9,4.91,4.88,4.94,4.86,f
t,Bywater,Entire residential home,Entire home/apt,2,1 bath,1.0,1.0,125.0,30,1125,1,14,44,44,45,4.93,4.91,4.82,4.98,5.0,4.86,4.66,f
t,Leonidas,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,140.0,30,365,10,16,46,321,76,4.84,4.85,4.84,4.96,4.99,4.83,4.81,f
t,Leonidas,Entire residential home,Entire home/apt,4,1 bath,2.0,2.0,120.0,30,365,6,6,25,271,56,4.8,4.86,4.75,4.98,4.88,4.71,4.77,f
t,City Park,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,89.0,30,1125,0,5,35,125,117,4.92,4.92,4.97,4.98,4.97,4.85,4.82,f
f,St. Roch,Private room in rental unit,Private room,2,1 bath,1.0,1.0,79.0,2,30,28,58,88,174,194,4.69,4.8,4.84,4.8,4.82,4.35,4.67,f
f,St. Roch,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,79.0,2,30,26,56,86,261,260,4.59,4.63,4.79,4.82,4.82,4.19,4.52,t
t,Mid-City,Private room in guest suite,Private room,4,1 private bath,2.0,2.0,93.0,1,100,14,32,59,314,728,4.86,4.9,4.91,4.89,4.84,4.74,4.81,t
t,St. Roch,Entire rental unit,Entire home/apt,3,1 bath,2.0,2.0,102.0,30,1125,26,56,86,141,233,4.8,4.8,4.68,4.93,4.92,4.55,4.72,f
t,Mid-City,Private room in residential home,Private room,2,2.5 shared baths,1.0,1.0,62.0,1,30,0,0,0,0,218,4.88,4.94,4.86,4.93,4.94,4.86,4.9,f
t,Mid-City,Private room in residential home,Private room,2,2.5 shared baths,1.0,1.0,50.0,1,7,0,0,0,0,234,4.88,4.9,4.81,4.94,4.96,4.84,4.88,f
f,Lower Garden District,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,257.0,2,60,30,60,90,90,0,4.86,4.91,4.88,4.96,4.95,4.87,4.83,f
t,Fillmore,Entire residential home,Entire home/apt,6,1 bath,3.0,3.0,53.0,2,30,4,11,41,251,311,4.88,4.91,4.78,4.96,4.94,4.79,4.93,t
f,Fairgrounds,Entire rental unit,Entire home/apt,1,1 bath,1.0,1.0,53.0,30,5000,0,0,0,159,35,4.7,4.53,4.74,4.79,4.76,4.67,4.76,f
